,amp_mean,average rdsym,oscillating_amp,oscillating_amp_time,period,ptsym_time,rdsym_time,sample,sample_lastE,sample_nextE,sample_zeroxD,sample_zeroxR,subject,trough_sharp,trough_time,trough_volt,whole_decay_time,whole_rise_time,whole_rise_volt
141,694.5208923086419,2.8529411764705883,True,True,51,-4,-1,23138,23113,23164,23125,23150,bp,112.48397435897436,25,-970.0,25,26,2356.0
142,1093.3296877852276,2.8529411764705883,True,True,67,-22,-17,23189,23164,23231,23171,23215,bp,98.74572649572652,44,-1490.0,25,42,4653.0
143,1729.6432018279274,2.8529411764705883,False,False,50,-1,-10,23251,23231,23281,23237,23266,bp,198.15714285714282,29,-1379.0,20,30,4114.0
144,113.17312554127554,2.8529411764705883,False,False,32,7,10,23302,23281,23313,23294,23307,bp,108.2,13,875.0,21,11,1307.0
145,733.2669949863202,2.41025641025641,True,True,36,20,-8,26472,26458,26494,26466,26477,bp,227.23333333333332,11,7.0,14,22,2375.0
146,640.4659228830267,2.41025641025641,False,False,72,-4,-6,26527,26494,26566,26508,26541,bp,57.05639097744361,33,-2043.0,33,39,1291.0
147,621.9134304859258,2.41025641025641,True,False,31,-10,7,26585,26566,26597,26570,26591,bp,125.38333333333333,21,-2909.0,19,12,2522.0
148,737.9729878743823,2.41025641025641,False,False,71,-1,-21,26622,26597,26668,26602,26639,bp,86.33970588235294,37,-2796.0,25,46,3956.0
149,847.9500441101458,2.41025641025641,False,False,35,5,-1,26685,26668,26703,26675,26694,bp,91.23888888888888,19,-726.0,17,18,1453.0
150,1421.2314732411592,2.41025641025641,False,False,44,-12,18,26734,26703,26747,26718,26742,bp,133.375,24,-3254.0,31,13,2465.0
151,335.87338169088963,2.41025641025641,True,False,33,4,15,26771,26747,26780,26754,26774,bp,123.29411764705885,20,-2531.0,24,9,1486.0
152,252.404223212322,2.41025641025641,True,False,66,-6,20,26823,26780,26846,26798,26831,bp,92.4075,33,-2859.0,43,23,2168.0
153,1315.0691020891409,2.41025641025641,True,True,47,3,3,26871,26846,26893,26858,26877,bp,176.6089743589744,19,-3541.0,25,22,3596.0
154,629.0264391470265,2.41025641025641,True,False,37,-18,-13,26905,26893,26930,26899,26926,bp,132.58333333333334,27,-2518.0,12,25,2377.0
155,379.71965584698165,2.41025641025641,True,False,67,-26,-25,26951,26930,26997,26935,26985,bp,51.501838235294116,50,-2313.0,21,46,2223.0
156,608.9591027431113,2.41025641025641,True,True,49,-15,5,27024,26997,27046,27009,27040,bp,55.00625,31,-1605.0,27,22,2403.0
157,288.4301985222925,2.41025641025641,True,True,51,-6,3,27073,27046,27097,27056,27085,bp,-1.2892156862745097,29,-606.0,27,24,1614.0
158,623.843516420319,2.41025641025641,True,True,49,4,-5,27119,27097,27146,27108,27131,bp,83.78787878787878,23,-1237.0,22,27,1938.0
159,829.9246695525552,2.41025641025641,True,True,51,-2,-1,27171,27146,27197,27158,27184,bp,110.03846153846152,26,-2501.0,25,26,2254.0
160,263.30450115770543,2.41025641025641,True,True,49,13,-1,27221,27197,27246,27208,27228,bp,63.324175824175825,20,-1763.0,24,25,1494.0
161,263.1854599312249,2.41025641025641,True,False,34,8,18,27272,27246,27280,27261,27274,bp,225.5,13,-1832.0,26,8,1663.0
162,625.0032012137666,2.41025641025641,True,False,66,-8,-4,27311,27280,27346,27295,27328,bp,63.73897058823529,33,-1682.0,31,35,1941.0
163,340.03617470828664,2.41025641025641,True,True,51,-24,9,27376,27346,27397,27353,27393,bp,45.39002557544757,40,-1758.0,30,21,1703.0
164,274.8653341978012,2.41025641025641,True,True,50,10,4,27424,27397,27447,27409,27429,bp,124.46666666666668,20,-1360.0,27,23,2397.0
165,1195.6186809128958,2.41025641025641,True,False,67,-6,21,26457,26413,26480,26441,26469,bp,125.16666666666669,28,1315.0,44,23,3406.0
166,524.2804852118273,2.41025641025641,False,False,48,-13,12,26510,26480,26528,26491,26518,bp,27.677631578947373,27,1863.0,30,18,854.0
